question,answer,category
Dx and Tx for an empyema,"Empyema = pus in pleural space. Tx: thoracentesis (pH < 7.20, WBC > 50k, glucose< 60, pus). Tx: ultimately requires fluid drainage (throacentesis v. tube thoracostomy v. thoracotomy), long-term antibiotics",Respiratory
What is the most common cause of hemoptysis in the US and abroad?,US: bronchitis; Worldwide: TB,Respiratory
What defines massive hemotpysis?,≥ 50 mL single expectorant or ≥ 500 mL / 24-hr,Respiratory
What is the most common cause of death in massive hemoptysis?,Hypoxia/asphyxiation (not blood loss); early airway management is key,Respiratory
What is the appropriate treatment for an unstable patient with massive hemoptysis?,"Early intubation, mainstem to ventilate good side if possible, and position patient with bleeding side down so the blood follows gravity and stays in the impaired lung; blood transfusion is less important. After initial stabilization the pt will need bronch or angio to ID source of bleeding.",Respiratory
"Dx and Tx: Young person, massive hemoptysis, bilateral whiteout on CXR","Diffuse Alveolar Hemorrhage. Cause is usually inflammatory or autoimmune. Tx: high dose steroids, supportive care",Respiratory
Dx and Tx: AMS + vomiting + patchy dependent consolidation,"Aspiration pneumonitis, chemical pulmonary inflammation. Risk factors: ALOC (ETOH, sz) neuro d/o, dysphagia. Tx: supportive, monitor for development of aspiration pneumonia, no antibiotics unless true pna.",Respiratory
"Dx and Tx: Alcoholic with foul breath, cough and CXR with air fluid level","Lung abscess. Polymycrobial: anaerobes = MCC (e.g. Peptostreptococcus), Staph. CXR: consolidation + cavity/air-fluid level; aerobes/TB (upper lobe), anaerobes (lower lobe). Tx: antibiotics (ampicillin+sulbactam, carbapenem), surgery if severe.",Respiratory
"What are potential CXR findings in primary, reactivation and miliary TB?","Primary: lower lobes, looks like pna. children: pronounced hilar adenopathy / elderly: isolated pleural effusion. Reactivation: upper lobe granuloma ± cavitation. Miliary: scattered nodules (millet seeds) throughout lung fields",Respiratory
How is TB diagnosed?,"Sputum stain (for AFB, suggestive, faster); Sputum cx (gold standard, confirmatory test, takes weeks). Quantiferon Gold (possible alternative, expensive). Tuberculin skin testing (i.e. PPD, used to screen, but positive tests require followup with CXR, Quant Gold, etc.).",Respiratory
What defines a positive TB skin test?,"Assessed for induration (not erythema). ≥5mm: HIV, immunosuppressed (e.g. organ transplant), close contact with active TB, abnormal CXR. ≥10mm: h/o IVDA, exposure to high risk setting (immigrant from TB-endemic area, jail, healthcare worker), children <4yo. ≥15mm: everyone else",Respiratory
What is the treatment for latent and active TB?,"Latent: Isoniazid (+B6) x6-9 mo. Active: Rifampin, Isoniazid, Pyrazinamide, Ethambutol (alt Streptomycin) x 9-12 mo",Respiratory
What are potential side effects of RIPE therapy?,"Rifampin: orange body fluids, hepatitis low platelets. Isoniazid: neuropathy (B6 deficiency), seizures (Rx B6 for refractory cases), hepatitis. Pyrazinamide: hepatitis, high uric acid → gout, teratogenic. Ethambutol: optic neuritis, red-green blindness. Streptomycin: vestibular nerve damage, renal injury (contraindicated in pregnancy → congenital deafness)",Respiratory
What are potential EKG changes seen with pulmonary embolism?,"Sinus tach (most common), nonspecific ST-T changes, R heart strain (e.g. RAD, new RBBB, p-pulmonale, S1Q3T3 = classic but rare), precordial TW inversion",Respiratory
Echocardiographic signs of right heart strain?,"RV dilation, RV hypokinesis, septal shift to the LEFT, tricuspid regurg, elevated pulmonary artery pressure, decreased LV filling, and impediment of LV output.",Respiratory
What is the most common symptom and sign of pulmonary embolism?,"Dyspnea (73%) and tachypnea (54%). Other ""classic"" symptoms are less common, such as pleuritic pain (44%), cough (37%), hemoptysis (15%), tachycardia (24%), calf pain/swelling (44%).",Respiratory
What are potential CXR findings in pulmonary embolism?,"CXR: nonspecific abnormalities, Hampton's hump (pleural-based wedge infarct), Westermark's sign (vascular cut-off sign)",Respiratory
What is the appropriate workup for patients with clinical symptoms and multiple risk factors for DVT and PE?,DVT: need negative D-dimer & Doppler US (repeat Doppler US if high risk and intial study negative) to exclude. PE: need negative imaging (CTA or VQ scan) to exclude,Respiratory
When should thrombolytics be given and when should they be considered a patient with PE?,"Indication for Thrombolytics: hypotension/shock (sustained x 15 minutes), cardiac arrest. Indication to consider thrombolytics: RV enlargement or dysfunction (EKG, TTE, or CT proven), extensive clot burden, severe hypoxemia, RA/RV thrombus, PFO",Respiratory
Dx: IVDA + multiple infiltrates on CXR,Septic pulmonary emboli (raising concern for endocarditis),Respiratory
"SSx, Dx and Tx of pulmonary arterial hypertension","SSx: SOB (most common), chest pain, hypoxia; Dx: TTE, cath, CT; XR with enlarged pulmonary arteries, EKG with R heart strain. Tx: vasodilators (prostacyclins like Remodulin)",Respiratory
Potential cause of acute decompensation in patient with pulmonary hypertension?,PE or IV pump failure (if on continuous PGA infusion and infusion stops),Respiratory
Potential cause of acute decompensation in patient with pulmonary fibrosis?,Progression of disease vs. acute pneumonia,Respiratory
Dx and Tx: Non-caseating granulomas in lungs with bilateral hilar adenopathy,"Sarcoidosis, associated with erythema nodosum. Tx: steroids",Respiratory
"What are the different types of Pneumoconioses (including Ssx, and Dx)?","Pneumoconiosis: lung dz caused by inhalation of organic or inorganic dust. SSx: SOB, cough (non-productive), hypoxia. Dx: CXR shows interstitial fibrosis. Asbestosis: shipping, roofing, plumbing (from the roof, but affects the base [lower lobes]); Berylliosis: aerospace, fluorescent bulbs; Byssinosis: cotton; Silicosis: foundries, sandblasting, mines; Coal worker's lung: coal, Silica & coal: from the base (earth), but affect the roof (upper lobes); Siderosis: arc weling (iron); Stannosis: tin welding",Respiratory
What labs are clasically abnormal in patients with sarcoidosis?,"Hypercalcemia, high ACE",Respiratory
What are the criteria for diagnosis of ARDS?,"1) Acute onset (sx within 1wk of causative insult), 2) bilateral opacities on CXR/CT (pulm edema), 3) no cardiac cause, 4) impaired O2 exchange (PaO2/FiO2 < 300)",Respiratory
What are the clinical features of ARDS?,"Poor lung compliance, pulmonary edema, severe hypoxemia unresponsive to supplemental O2; Causes: shock states (gram neg. sepsis = MC), trauma, almost anything EXCEPT heart failure.",Respiratory
"What is the approach to ""lung protection"" in ventilated ARDS patients?","Low tidal volume (4-6cc/kg), high PEEP (5-20), permissive hypercapnea but can increase RR as needed, supplemental O2 (PEEP & FiO2 should be titrated up together [ARDSnet trial])",Respiratory
What is the expected PCWP in ARDS vs CHF?,ARDS: low/normal PCWP; CHF: high PCWP,Respiratory
What mechanisms of hypoxemia cause an increase in the A-a gradient (>15)?,"Right to left shunt, Diffusion impairment, V-Q mismatch",Respiratory
Dx: Cough and ulnar neuropathy,"Pancoast tumor, XR with mass at lung apex, causes brachial plexus compression",Respiratory
What size pneumothorax can be managed with O2 and observation alone?,20% or less. Pnuemothroacies resorb 1-2% per 24hrs in healthy lungs.,Respiratory
What is the ssx and most common airway location for foreign bodies to lodge?,"SSx: cough, wheezing, dyspnea, asymptomatic (20%). Adults: proximal airways (75%; larynx, trachea, main bronchi: R mainstem bronchus most common). Children: <50% are proximal (main bronchi branch from the trachea at more equal angles, lower airway foreign bodies are equally likely to affect the right and left lung fields in children)",Respiratory
"SSx, Dx and Tx of COVID 19","SSx: Generalized viral syndrome symptoms including fevers, chils, bodyaches, diarrhea, headache, loss of taste and smell. Dx: SARS-CoV2 PCR testing, chest XR reveals bilateral interstitial infiltrates. Tx: Corticosteroids for patients with hypoxia, vitamin C/D/Zinc, symptomatic treatment. Monocolonial antibodies (not tested).",Respiratory
"What are important vent settings in intubated Asthmatic to reduce ""breath stacking"" and barotrauma?","Reduce minute ventilation, adjust I:E ratio (inspiratory to expiratory ratio) to allow for longer expiration.",Respiratory
Treatment of refractory hiccups?,"Thorazine, always investigate for serious cause of hiccups prior to symptomatic treatment.",Respiratory
Dx and Treatment of blepharitis,"Dx: Inflammation of the eye lid. Tx: wash with gentle soap, topical antibiotics (Strep/Staph)",HEENT
Dx and Tx: hordeolum vs. chalazion,"Hordeolum: acute painful blocked gland of Zeis at lid margin (at or near eyelash follicle). Tx: warm compresses, abx if concurrent with preseptal cellulitis. Chalazion: chronic or gradual-onset nontender granuloma due to blockage of meibomian gland, found above eyelash on upper lid. Tx: warm compresses, ophtho excision",HEENT
Hordeolum vs. stye,They are the same thing,HEENT
"SSx, Dx and Tx: Iritis, Uveitis, Choroiditis","Inflammation of iris, ciliary body and choroid, respectively. SSx: painful red eye, photophobia. Dx: exam shows decreased visual acuity, cell and flare, ciliary flush. Tx: Ophtho consult, dilate, steroids, pain meds.",HEENT
"SSx, Dx and Tx: Dacrocystitis","Infection of the nasolacrimal (tear duct; inframedial) system (S. aureus). SSx: purulent discharge, possible adjacent cellulitis. Dx: clinical exam. Tx: warm compresses, antibiotics.",HEENT
Dx and Tx: Corneal dendrites,"HSV keratitis; Rx: Ophtho consult, topical trifluridine unless complicated",HEENT
Dx and Tx: Bacterial conjunctivitis + contact lens wearer,"Risk for Pseudomonas infection, Tx: tobramycin drops (↑ resistance to cipro)",HEENT
Dx: Metal worker + eye pain,"Intraocular foreign body (look for teardrop pupil, Seidel's sign to r/o globe rupture); Rust rings removed in 24-48 hours by Ophtho",HEENT
Dx and Tx: skier or welder + eye pain,"UV keratitis. bilateral decreased visual acuity, pain, and redness. Dx: exam shows multiple punctate lesions. Tx: cycloplegics",HEENT
Dx and Tx: hyphema?,"Dx: bleeding in the anterior chamber of the eye on exam. Can be traumatic. Tx: consult ophtho, bedrest, HOB elevation, pain meds, cycloplegics. More urgent consult for sickle cell disease.",HEENT
Primary concern after hyphema? Treatment?,"Rebleed (most common complication), risk for glaucoma.",HEENT
"Ssx, Dx and Tx of endophthalmitis","Infection of anterior, posterior and vitreous chambers of the eye. Iatrogenic (catarct surgery = MCC in US), trauma. SSx: severe pain & visual impairment. Dx: exam with decreased visual acuity, injected conjunctiva, chemosis, possible hypopyon. Tx: ophtho consult, intraocular + systemic antibiotics",HEENT
Laceration close to the medial canthus?,High risk for lacrimal duct injury. Fluorescein staining will show stain extruding from the laceration. This repair should be done by oculoplastics.,HEENT
Treatment of acute angle closure glaucoma,"First decreased the intraocular pressure, next constrict to the pupil to promote drainage. ↓ aqueous production: α-agonist (apraclonidine), βblocker (timolol), carbonic anhydrase inhibitor (acetazolamide); ↑ outflow: pilocarpine (miotic).",HEENT
"Dx: Sudden painless unilateral vision loss, retina with ""boxcars"" or ""cherry-red spot""",Central retinal artery occlusion,HEENT
"Dx: Sudden painless unilateral vision loss, retina with ""blood and thunder"" appearance (dilated retinal veins, diffuse hemorrhage, cotton wool spots)","Central retinal vein occlusion, increased risk with chronic glaucoma",HEENT
Dx and Tx: painless unilateral loss of vision associated with floaters at first and then visual field cuts. Visual acuity is normal (or at their baseline). Nothing seen on slit lamp.,"Retinal detachment - clinical diagnosis based on hx. Pt should see ophtho in the ER or w/in 24hr. Classic descriptor: “curtain being drawn over my eye” or “floaters, flashes of light”",HEENT
"Dx and Tx: painful red eye, decreased visual acuity, ciliary flush, “cell and flare” on slit lamp.","(Traumatic) iritis or anterior uveitis. Tx: Ophtho consult or follow up w/in 24hrs, dilate (cycloplegics e.g. cyclopentolate, tropicamide), pain meds",HEENT
"Dx: Dizzy + vertical, multidirectional, or non-fatigable nystagmus",Central vertigo,HEENT
Ddx for gingival hyperplasia,"Acute necrotizing ulcerative gingivitis, HIV, phenytoin toxicity, acute leukemia",HEENT
"White plaques on oral mucosa, can be scraped off","Candidia, associated with immunocompromise, abx use",HEENT
Name Centor criteria for acute bacterial pharyngitis,"Fever, tender anterior LAD, no cough, tonsillar exudates; 4/4 → empiric abx, 3/4 → culture/rapid strep",HEENT
What medication is most likely to improve symptoms of viral pharyngitis?,"Dexamethasone, NSAIDs are also a mainstay of tx",HEENT
Dx and Tx of PTA?,"Common complication of acute tonsilitis. Strep (GAS) = most common. Most common deep facial infxn in adults. SSx: sore throat, odynophagia, muffled voice, referred otalgia. Dx: Exam w/ trismus, deviation of soft palate + uvula. Tx: needle aspiration, abx (PCN + metronidazole v clinda), ENT followup",HEENT
"Dx and Tx: fever, sore throat, brawny neck edema, tongue elevation, dysphagia, drooling?","Ludwig's Angina. Dental infxn = MCC, immunodeficiency. Tx: airway mgmt, ENT consult, broad spectrum abx. Sudden asphyxiation (laryngospasm) = MCC of death",HEENT
Identify classifications of dental fractures and appropriate management,"Ellis I: fx of enamel. Exam: white, painless. Rx: smooth rough edges, dental follow-up. Ellis II: fx thru dentin & enamel. Exam: yellow, painful. Rx: smooth rough edges, apply calcium hydroxy paste, dental follow-up. Ellis III: fx thru pulp, dentin & enamel. Exam: pink/red, painful. Rx: dental emergency, cover with moist cotton & dental foil, abx (PCN), and get dental consultation or arrange dental f/u within 24hr for root canal & pulpectomy",HEENT
"Ssx, Dx and Tx of dry socket (alveolar osteitis)","Localized osteomyelitis. Due to loss of protective clot. SSx: severe pain 3-5d after dental extraction. Exam exposed bone w/o clot. Tx: irrigate with saline, iodoform guaze, eugenol (oil of clove), abx if needed (signs of infection), PAIN CONTROL and oral surgery referral",HEENT
"SSx, Dx and Tx of CMV retinitis","CD4 <50 = AIDS defining illness. SSx: ↓ visual acuity, floaters/visual field cuts, photophobia. Dx: Exam: white fluffy perivascular lesions with hemorrhage. Tx: IV gancyclovir",HEENT
Dx of vitreous v. retinal detachment on ultrasound,"BOTH vitreous & retinal detachments show serpiginous structure within the globe. Vitreous detachment: can cross over the optic nerve; Retinal detachment: will NEVER cross the optic nerve since it is made of nerve fibers, which converge into the optic nerve",HEENT
What is an APD? (Afferent pupillary defect?),A sign that indicates a lesion of the retina or optic nerve. It is detected by moving a light from the better functioning eye to the eye with poor vision and observing dilation of the pupil,HEENT
4 causes of afferent pupillary defect (APD),"CRAO, CRVO, optic neuritis, and retrobulbar neuritis.",HEENT
"Dx and Tx: Monocular vision loss, worse centrally, afferent pupillary defect, pain with EOM, diminished color vision","Optic neuritis. Causes: Idiopathic > MS. Also toxicological and infectious. Tx: Consult neurology & ophtho, IV steroids, MR to eval for MS. Seen with: methanol toxicity and ethambutol toxicity. Herpes Zoster.",HEENT
Treatment of CRAO,"Orbital massage to disrupt clot, ↓ IOP (acetazolamide, mannitol, timolol), vasodilators (nitro)",HEENT
Pinguecula vs. pterygium,"Pinguecula: degenerative eye lesion 2/2 chronic inflammation from wind and UV light. Exam: yellow, raised, fleshy conjunctival mass (lateral). Rx: none. Pterygium: slow growing thickening of conjunctiva 2/2 wind, sand, dust. Exam: vascular triangular mass in ""bat wing"" shape (medial). Rx: surgery if interferes with vision.",HEENT
What should be the approach to stopping anterior epistaxis?,"Direct pressure, vasoconstrictors (oxymetaxoline/Afrin, pheynlephrine, cocaine), balloon/tampon devices (be sure to soak with water not saline), Note: use of abx is controversial. Send home with ENT f/u in 2-3 days.",HEENT
What are the most common sources of anterior and posterior epistaxis?,Kiesselbach plexus (anterior) and sphenopalatine artery (posterior),HEENT
What is the appropriate treatment and dispostion for patients with posterior nasal packing?,Prophylactic antibiotics + admit to ICU/monitored bed due to risk of vagally-mediated bradycardia and airway compromise,HEENT
Most common site of sialoadenitis? Tx?,"Submandibular gland (Wharton duct). Tx: milk stone, sialogogues",HEENT
Dx and Tx: sudden onset vertigo with head position,"Benign Paroxysmal Positional Vertigo (BPPV). Dx: Dix Hallpike Exam Tx: Epley, meclizine (only for continuous sx, not episodic sx)",HEENT
Dx and Tx: Recurrent bouts of vertigo + hearing loss + tinnitus?,"Meniere disease; aka ""Idiopathic endolymphatic hydrops” due to increased endolymph w/in the inner ear. Tx: treat vertigo, refer to ENT. Hearing loss and tinnitus are often refractory to treatment. **peripheral vertigo**",HEENT
Dx and Tx: Severe vertigo + URI,Vestibular neuritis - Tx: supportive. Resolves on its own.,HEENT
Dx and Tx: Severe vertigo + AOM (plus or minus hearing loss),"Labrynthitis - caused by an infection of the inner ear. It can be caused by measles or mumps viral infection or can be due to an extension of acute bacterial otitis media, which causes suppurative labyrinthitis. Suppurative labyrinthitis should be treated with intravenous antibiotics and ENT referral.",HEENT
Differentiate labrynthitis from Ménière dz,"Labrynthitis: vestibular neuritis + unilateral hearing loss, assoc. URI. SSx: vertigo (NOT recurrent) + hearing loss + unstable gait. Exam: nystagmus, +head impulse. Tx: steroids, self limited. Ménière: due to inc. endolymph. SSx: episodic vertigo + hearing loss + tinnitus. Rx: avoid triggers, antihistamines, diuretics, benzos, surgery (refractory cases)",HEENT
Dx if positive head impulse test (i.e. presence of corrective saccade) in a pt with continuous vertigo,Vestibular neuritis / labyrinthitis,HEENT
Dx and Tx of perichondritis,"Infection of the cartilage. Presents: Swollen, warm, tender, erythematous auricle. No TM involvement, no earlobe involvement. Presents after ear surgery, trauma or piercing the upper ear. Pseudomonas, Staph, Strep spp. Tx: fluoroquinolone (e.g. cipro), if severe admit for IV coverage.",HEENT
"SSx, Dx and Tx of acute otitis media","Infant or young child. Viral (RSV) > bacterial (Strep. Pneumo). SSx: ear pain, fever, URI symptoms. Exam: TM bulging/erythema & decreased mobility of TM (most sensitive). Tx: amoxicillin; recurrent/persisent: Augmentin, others. Complications: hearing loss, perforation (add abx in suspension), facial nerve parlysis (needs myringotomy)",HEENT
Dx and Tx of acute mastoiditis,"Bacterial infection of mastoid air cells. Direct extension from AOM = MC mechanism. Strep. Pneumo = MCC. SSx: postauricular erythema & tenderness, protrusion of the auricle. Dx: CT temporal bone. Tx: abx (CTX), surgical drainage. Complications: osteo, intracranial infxns, venous sinus thrombosis",HEENT
Dx and Tx of necrotizing (malignant) otitis externa,"Necrotizing infection of auditory canal + skull base. Elderly + DM2. Pseudomonas = MCC. SSx: otorrhea, otalgia, severe/persistent pain, CN VII palsy. Dx: CT temporal bone. Rx: cipro (outpt), antipseudomonal ßlactam + aminoglycoside (inpt) if toxic, CN palsies. Complication: CNVII palsy, intracranial infxns.",HEENT
Dx and Tx: Sudden pain + decreased hearing after ear irrigation,"TM perforation. Tx: pain meds, keep ear dry, antibiotics only if concurrent infection, ENT outpt follow-up 1-2wks. Overall, infxn = MCC of TM perf",HEENT
"Dx and Tx: pain/swelling/ttp over parotid gland, fever, trismus, dysphagia",Suppurative (bacterial) parotitis. Staph aureus = MCC. Tx: abx (Ampicillin-sulbactam),HEENT
"SSx, Dx and Tx of preseptal cellulitis","Infection of the anterior portion of the eye (NOT orbital structures). Staph/Strep spp. SSx: Eyelid swelling ± eye pain. LACKS pain with EOM or proptosis. Dx: clinical, CT if concerned for orbital cellulitis. Tx: amoxicillin-clavulanate, outpt ophtho follow-up",HEENT
Dx and Tx of orbital cellulitis,"Infection of the contents of the orbit (posterior to orbital septum). Children > adults. Bacterial rhinosinusitis = MCC. SSx: eyelid swelling, deep eye pain, pain + limitation with eye movements, proptosis. Rx: broad spectrum abx (Vanc + Zosyn), ophtho consult, admit. Complications: vision loss, cavernous sinus thrombosis, meningitis",HEENT
Name the structures that run through the cavernous sinus,"CN III, IV, VI, V1, V2, internal carotid artery. Isloated CN VI (abducens) palsy = MC CN palsy.",HEENT
"SSx, Dx and Tx of cavernous sinus thrombosis","Classically follows acute bacterial sinusitis. Staph = MCC. SSx: headache (MC sx) + fever + CN palsies (abducens palsy is classic which means the eye looks in towards the nose) + periorbital edema. Dx: MRV. Tx: IV abx (nafcillin, ceftriaxone, and metronidazole), ENT consult, ICU admit. Anticoagulation is controversial.",HEENT
Cause of brisk bleeding after recent tracheostomy placement,Tracheoinnominate artery fistula (TIF),HEENT
Dx and Tx of Vitreous Hemmorhage,"Etiology trauma, diabetic retinopathy, retinal detachment, posterior vitreous detachment. Presents with blurry vision, floaters, reddish tint to vision, floaters/fashers. Ocular US reveals hyperechoic opacities in vitreous. Tx: Ophtho consult 24-48hrs, avoid NSAIDs/anticoagulants, elevate head of bed.",HEENT
Chemical Injury to the eye?,"Alkali injury is worse (leads to liquefaction necrosis). Tx: check pH, irrigate, check pH, normal pH 7.4",HEENT
Dx and Tx of Globe Rupture,"Teardrop pupil, flattened anterior chamber, Seidel’s sign is present. Tx: DO NOT CHECK PRESSURES, give antibiotics, CT scan, cover with eye patch and call ophtho in.",HEENT
What medication is contraindicated in sickle cell patients presenting with Hyphema?,Acetazolamide (induces sickling of RBC by making more acidic environment).,HEENT
Dx: Eye down and out,"CN III palsy; consider CVA, uncal herniation if with blown pupil",Neurology
Dx: Bilateral internuclear ophthalmoplegia,Combined 3rd & 6th nerve palsy; usually multiple sclerosis,Neurology
"Dx: Urinary incontinence, AMS, ataxia","Normal Pressure Hydrocephalus; ""wet, wacky, wobbly""; also may be shunt malfunction. Will have normal opening ressure on LP. Treatment is high voume CSF removal.",Neurology
"Dx: Young obese woman, headaches, vision changes, CN VI palsy","Idiopathic intracranial hypertension (pseudotumor cerebri); Dx: CT normal, LP: diagnostic (↑ opening pressure) & therapeutic (drain to <20cm H2O); Complication: permanent vision loss. Note, they may report pressure in mm so elevated would be 200mm.",Neurology
"SSx, Dx and Tx: Neuroleptic Malignant Syndrome","Neuroleptic use (dopaminergic/antipsychotic). SSx: autonomic instability (hyperthermia), ""LEAD PIPE"" MUSCLE RIGIDITY, AMS; no clonus/DTR changes. Tx: supportive (IVF, benzos, cooling), ± dantrolene (direct skeletal-muscle relaxant), ± bromocriptine (dopamine agonist)",Neurology
"SSx, Dx and Tx: Serotonin Syndrome","Serotonergic agent use (combo 2+ SSRIs) or multi-drug overdose. SSx: autonomic instability (hyperthermia), CLONUS & HYPERREFLEXIA (LE>UE), AMS. Tx: supportive (IVF, benzos, cooling), ± cyproheptadine (antihistamine w/ antiserotonergic properties)",Neurology
Dx: CNS mass lesion in AIDS,"1) Toxo (multiple ring-enhancing lesions w/ edema), 2) CNS lymphoma (hyperdense, round enhancing lesions)",Neurology
Treatment of intraparenchymal hemorrhage,"BRAINS': BP control (~160/90), Reverse coagulopathy, Airway mgmt, ICP control if herniating (hyperventilate, HOB 30, mannitol; Neurosurg consult (craniotomy for cerebellar vs. ventriculostomy), Seizure ppx (controversial)",Neurology
"Dx: Contralateral hemiparesis/ hemiplegia, Contralateral sensory loss, Homonymous hemianopia",Putamen hemorrhage. Most common type of ICH.,Neurology
"Dx: Ataxia, headache/vomiting, gaze palsy, facial weakness",Cerebellar hemorrhage,Neurology
"Dx: hemiparesis or hemisensory loss, upward gaze palsy, miotic pupils",Thalamic hemorrhage,Neurology
"Dx: deep coma, total paralysis, pinpoint pupils",Pontine hemorrhage,Neurology
Classic symptoms for ACA vs. MCA vs. PCA strokes,"ACA: frontal lobe dysfxn, apraxia, contralat paralysis (lower > upper). MCA: contralat paralysis (upper > lower), ipsilat hemianopsia, aphasia. PCA: LOC, nausea/vomiting, CN dysfct, ataxia, visual agnosia. Rule out hypoglycemia! Dx: CT shows loss of grey-white interface, acute hypodensity",Neurology
"Pt w/ unilateral CN deficits, contralateral hemiparesis and hemisensory loss?",This brain stem stroke. This presentation is known as “Crossed signs.”,Neurology
Treatment of sickle cell pt with CVA,Exchange transfusion,Neurology
Indications for tPA for CVA,"Age ≥18, dx of ischemic stroke + neuro deficits, symptoms < 4.5hr, CTH negative for bleed, no clear reversible cause.",Neurology
Absolute contraindications for tPA for CVA,"Ischemic stroke, neurosurgery, or head trauma within 3mo; ANY ICH (current or previously); possible SAH; known intracranial neoplasm/ AVM/aneurysm, BP >185/110 after reduction attempted; possible reversible cause; active bleeding or coagulopathy (Plt <100k, INR >1.7, PT>15s), CT shows multilobar infarcts, glucose <50",Neurology
Relative contraindications to tPA,"Pregnancy, sz at onset with postictal period, major surgery in last 14d, GI or GU bleeding in last 21d, MI in last 3mo",Neurology
What is the dosing for tPA in ischemic stroke?,0.9 mg/kg (up to 90 mg) with 10% of the dose given as a bolus and the rest of the dose given as an infusion over 1 hour,Neurology
Major difference between lacunar and cortical infarcts,"Cortical: large artery, cortical dysfxn (aphasia, neglect, ALOC), motor AND sensory sx, deficits contralateral side. Lacunar: small artery, pure motor OR sensory sx",Neurology
"Neglect, or “hemi-inattention” typically indicates stroke where?",Results from infarction in the parietal lone in the non-dominate hemisphere. This is the right hemisphere for most people.,Neurology
"Dx and Tx: transient episode of slurred speech and unilateral arm weakness, now resolved",Transient Ischemic Attack (TIA). Transient episode of neurological dysfunction without acute infarction. 10% of TIA patients will have a stroke within 90 days. Tx: Aspirin + dipyridamole or clopidogrel monotherapy,Neurology
How to use ABCD2 for TIA dispo,"Predicts likelihood of subsequent stroke within 2 days. Age >60 (1), BP >140/90 (1), Clinical features: unilateral focal weakness (2) speech disturbance w/o weakness (1), Duration of symptoms: >60min (2), 10-59min (1), <10 (0), Diabetes (1). Hospitalize for score >2. Workup includes MRI/MRA head&neck, EKG/TTE. 2 Tx that saves lives: carotid endarterectomy >70% stenosis, anticoagulation for Afib or LV thrombus",Neurology
Best study to diagnose venous sinus thrombosis,MR venography = gold standard,Neurology
Appropriate treatment for suspected bacterial meningitis,"Airway control prn, Antibiotics: CTX + Vanc ± Amp (age>50, alcoholics) ± Acyclovir, Steroids, THEN CTH (for boards don’t delay abx) followed by LP, supportive (MAP/temp control, control sz prn)",Neurology
Dx and Tx: bloody and necrotizing encephalitis,HSV; Tx: IV acyclovir,Neurology
Findings with UMN lesion,"Spastic paralysis, ↑ DTRs, positive (upgoing) Babinski, ↑ tone",Neurology
Findings with LMN lesion,"Flaccid paralysis, ↓ DTRs,muscle wasting, fasciculations",Neurology
What distinguishes Conus Medullaris Syndrome from Cauda Equina Syndrome?,CMS is similar to CES except it is ABOVE L1 & is an UMN lesion; CMS will ALWAYS will have positive (upgoing) Babinski (UMN lesion finding),Neurology
Dx and Tx: Guillain-Barré Syndrome (GBS),"Most common peripheral neuropathy caused by autoimmune demyelination. SSx: preceding resp. (Mycoplasma) or GI illness (Campylobacter = MCC), progressive, ascending, symmetric motor weakness, sensory loss, ↓ DTRs, normal rectal tone. Dx: LP shows ↑ CSF protein + mild pleocytosis. Rx: plasmapheresis, IVIG, measure NIF, vital capacity (resp. monitoring)",Neurology
What is the Miller Fisher variant of GBS?,Descending GBS + ataxia + CN abnormalities (bulbar sx),Neurology
Difference between GBS and tick paralysis,"GBS: paresthesias/pain AND motor loss, post-infectious autoimmune dz. TP: symmetric ascending flaccid paralysis + ataxia ONLY; caused by neurotoxin in tick saliva so must remove tick",Neurology
"SSx, Dx and Tx: Botulism","Paralytic illness. Cause: Clostridium botulinum neurotoxins → blocks ACh release at neuromuscular junction → flaccid paralysis. Forms: food borne (canned foods, honey), wound, infantile (most common). SSx: floppy baby, constipation, weak cry (infants); CN/bulbar sx, dilated pupils (differentiates from myasthenia), symmetric, descending flaccid parlaysis / weakness (MC finding) “botulism bottoms out”, parasympathetic blockade (dry mouth/sore throat, urinary retention). Tx: supportive care, resp. monitoring (resp. failure = MCC death), antitoxin (Rx infants: BabyBIG, Rx age>1: antoxin, abx (for wounds)",Neurology
"SSx, Dx and Tx: Syringomyelia","Cyst or cavity in upper spinal cord (cervical spine = MC location). SSx: headache (2/2 Chiari malformation), ""cape-like"" loss of pain/ temp sensation to UE, preservd proprio/vib. Dx: MRI. Rx: neurosurgery consultation, monitor vs. drain.",Neurology
Dx and Tx: Myasthenia gravis,"Autoantibioties to nicotinic ACh receptors (25% with associated thymoma). SSx: repeated muscle use = ↑ weakness/fatigue (HALLMARK), proximal muscle weakness, ocular sx (CNIII palsy, ptosis, dysphagia, diplopia). Dx: Tensilon Test (edrophonium) or Ice Pack test: ↓ sx. Tx: Pyridostigmine. Myasthenic crisis: triggered by infxn, meds; resp. failure → mechanical ventilation (follow vital capacity, NIF); Tx: IVIG, plasmapheresis.",Neurology
Difference between Myasthenia Gravis and Lambert-Eaton Myasthenic Syndrome?,"MG: fatigue with repeated movement. LEMS: improves with repetition. Note that LEMS is often paraneoplastic, so look for underlying cancer if not already diagnosed.",Neurology
"Dx and Tx: Young man presents with LE paralysis, high thyroid, low K","Thyrotoxic Periodic Paralysis. Hallmark of periodic paralysis = painless weakness precipitated by heavy exercise, high carb meals. Caused by transmembrane shift of K into cells. Tx: K repletion (not aggressive) and beta blockers.",Neurology
